feature,xgb_importance,lgb_importance,avg_importance
current_load_mw,0.009162837,7,3.5045814183540642
housing_age_median,0.007784723,5,2.5038923614192754
month_sin,0.012732807,4,2.0063664033077657
critical_facility_density,0.0076190387,4,2.003809519344941
median_income_normalized,0.0068068,3,1.5034034000709653
trend_outage_3h,0.3060398,2,1.153019905090332
dow_cos,0.01562376,2,1.0078118802048266
trend_outage_6h,0.4008109,1,0.7004054486751556
hour_sin,0.011953749,1,0.5059768743813038
trend_outage_12h,0.008582571,1,0.5042912852950394
weather_count_3h,0.028766254,0,0.014383126981556416
is_weekend,0.017326891,0,0.008663445711135864
dow_sin,0.015969671,0,0.007984835654497147
month_cos,0.014850986,0,0.007425493095070124
lag_outage_6h,0.014617422,0,0.00730871083214879
lag_outage_12h,0.011045177,0,0.005522588267922401
weather_count_48h,0.010344901,0,0.005172450561076403
compound_severity_index,0.00992114,0,0.004960570018738508
hour_cos,0.009806227,0,0.004903113469481468
reserve_margin_pct,0.009682404,0,0.004841201938688755
lag_outage_1h,0.009681715,0,0.004840857349336147
lag_outage_24h,0.009405961,0,0.004702980630099773
weather_max_mag_72h,0.008336428,0,0.004168213810771704
seq_max_gap_hours,0.008322489,0,0.004161244723945856
population_density,0.006609011,0,0.0033045054879039526
lag_outage_168h,0.0053454866,0,0.00267274328507483
weather_count_12h,0.0051931106,0,0.0025965552777051926
load_capacity_ratio,0.0045755613,0,0.0022877806331962347
neighbor_outage_mean,0.004480581,0,0.0022402903996407986
neighbor_outage_max,0.003033583,0,0.0015167915262281895
seq_storm_count_72h,0.0027289134,0,0.0013644567225128412
neighbor_outage_spread,0.0024893486,0,0.001244674320332706
cat_wind_total_damage,0.00034981073,0,0.00017490536265540868
weather_max_mag_6h,0.0,0,0.0
weather_count_1h,0.0,0,0.0
weather_count_6h,0.0,0,0.0
weather_distinct_types_3h,0.0,0,0.0
weather_mean_mag_3h,0.0,0,0.0
weather_max_mag_3h,0.0,0,0.0
weather_distinct_types_1h,0.0,0,0.0
weather_mean_mag_1h,0.0,0,0.0
weather_max_mag_1h,0.0,0,0.0
lag_outage_48h,0.0,0,0.0
lag_outage_3h,0.0,0,0.0
weather_mean_mag_72h,0.0,0,0.0
weather_distinct_types_72h,0.0,0,0.0
weather_mean_mag_12h,0.0,0,0.0
